"gene","EC_C1_IGFBP7","EC_C10_COL1A2","EC_C11_RROX1","EC_C12_FCN3","EC_C13_MKI67","EC_C2_GJA5","EC_C3_HSPA1A","EC_C4_FLT1","EC_C5_ROBO2","EC_C6_ACKR1","EC_C7_IL6","EC_C8_IL32","EC_C9_CXCR4"
"NIPA2",10.43,22.66,12.36,9.79,31.76,17.17,12.81,20.85,24.8,16.4,21.8,21.92,14.85
"CYFIP1",20.27,38.48,17.57,20.27,39.29,39.21,27.72,49.16,53.72,27.63,30.24,42.86,21.68
"TUBGCP5",2.45,8.61,2.25,3.19,7.76,6.58,3.6,8.41,12.05,5.97,4.94,6.6,4.87
"GOLGA8S",0.06,0,0,0.23,0.24,0.12,0.05,0.15,0.32,0.03,0.1,0,0.19
"MKRN3",0.04,0,0,0.23,0,0.25,0,0.13,0.35,0.03,0.03,0.23,0
"MAGEL2",0.02,0.09,0,0,0.24,0.02,0,0.03,0,0,0,0,0
"NDN",4.61,23.88,9.19,4.1,4.47,7.4,3.77,7.69,6.8,7.6,10.17,7.03,3.54
"PWRN1",0.01,0.37,0,0,0,0.08,0,0.08,0.11,0.03,0.03,0,0
"SNRPN",17.9,42.51,25.23,18.68,25.18,27.45,22.35,30.27,26.97,26.46,28.51,31.15,26.86
"SNURF",0.65,2.06,1.12,1.14,0.94,0.66,0.65,0.99,0.87,0.86,1.01,1.26,1.33
"SNHG14",3.67,9.18,8.58,3.64,12.71,9.8,3.17,30.04,15.89,8.98,4.48,13.26,7.14
"UBE3A",17,44.48,17.67,23.01,38.35,36.32,25.4,44.18,55.02,30.71,37.4,37.94,30.4
"ATP10A",0.22,8.9,1.84,0,0.71,1.26,0.27,0.53,2.22,0.86,0.69,0.98,2.84
"GABRB3",0.11,0.19,0.2,0.46,0.47,0.25,0.25,0.36,0.65,1.08,0.69,0.28,0.38
"GABRG3",0.03,0.28,0.51,0,0,0.31,0.05,0.2,0.73,0,0.13,0.14,0.19
"GABRG3-AS1",0,0,0,0,0,0.02,0,0.03,0.03,0,0,0,0.06
"OCA2",0,0.19,0.1,0,0.24,0.08,0.07,0.08,0.43,0.06,0.16,0,0.13
"HERC2",18.47,41.57,16.45,15.72,41.41,41.61,21.75,46.22,51.61,38.28,35.7,37.7,23.2
"GOLGA8M",0.25,2.06,0.2,0.91,0.47,0.91,0.52,1.47,5.23,0.55,0.72,0.7,0.57
"GOLGA6L7",0.01,0.37,0.1,0,0,0.1,0,0.18,0.05,0.03,0,0,0.13
"APBA2",0.35,1.69,5.92,2.28,1.41,0.21,0.32,0.96,2.49,0.28,0.75,1.12,6.32
"FAM189A1",0.15,0.75,0.1,0,0,0.79,1.4,0.13,1.33,1.11,0.92,0.23,1.01
"NSMCE3",6.74,17.79,5.52,7.74,12.47,12.93,10.04,15.57,14.97,10,12.06,15.93,24.84
"TJP1",37.69,69.1,37.59,42.14,60.24,68.52,51.47,75.85,85.87,57.11,61.72,67.21,36.79
"GOLGA8T",0,0,0,0,0,0.02,0,0,0,0,0,0,0.06
"GOLGA8R",0.13,0.37,0,0.23,0.47,0.39,0.12,0.46,0.81,0.09,0.2,0.42,0.38
"GOLGA8Q",0.04,0.47,0,0.23,0,0.1,0.1,0.28,0.27,0.15,0.03,0.14,0.13
"GOLGA8H",0.02,0.09,0.1,0.23,0.24,0.04,0,0.1,0.27,0.09,0.07,0.09,0.06
"ARHGAP11B",0.17,0.66,0.1,0.23,3.53,0.21,0.32,0.36,0.43,0.31,0.33,0.19,0.44
"FAN1",3.5,8.33,4.39,4.33,10.35,8.11,5.02,11.05,14.24,8.03,6.73,8.52,5.06
"MTMR10",5.19,14.7,4.39,7.29,13.18,11.77,9.62,18.77,23.29,10.12,10.92,11.52,8.22
"TRPM1",0.29,0.37,0,0,0.94,0.1,0.22,0.76,0.43,0.37,0.33,0.56,0.13
"KLF13",14.12,34.46,14.2,14.81,40.94,32.1,21.53,42.03,50.07,22.55,23.67,37.89,34.32
"OTUD7A",3.27,8.15,0.51,2.73,3.76,4.96,3.3,14.45,13.19,3.51,3.07,6.79,2.34
"CHRNA7",0.34,0.84,1.02,0.23,0.94,0.77,0.8,1.17,2.84,1.02,1.96,1.83,0.51
"GOLGA8K",0,0,0,0,0,0.02,0.02,0.03,0.14,0,0.1,0,0
"GOLGA8O",0.1,0.47,0.31,0,0.71,0.35,0.12,1.22,0.43,0.15,0.07,0.37,0.44
"GOLGA8N",0.7,1.97,0.92,0.68,0.47,1.72,2.07,1.98,3.44,1.57,1.05,0.84,1.96
"ARHGAP11A",0.3,0.84,0.1,0.46,30.82,0.29,0.37,0.63,1.52,0.37,0.65,1.03,1.26
"SCG5",0.18,1.31,0.2,0,0.71,0.19,0.17,0.89,0.41,0.25,0.1,0.98,0.06
"GREM1",0.1,0.66,0.1,0,0.24,0.21,0.15,0.2,0.3,0.09,0.07,0.23,0.13
"FMN1",0.33,1.31,0.41,0.68,0.71,0.64,0.35,1.6,1.54,0.22,0.33,0.33,2.72
"RYR3",1.1,2.34,0.31,0.68,0.47,5.56,1.05,1.02,9.13,8.83,7,0.7,1.07
"AVEN",3.79,9.93,4.49,3.64,12.24,9.93,4.32,13.51,17.74,7.05,7.85,14.61,5.44
"CHRM5",0.07,0.28,0.1,0.46,0.24,0.93,0.2,0.79,2.95,0.49,0.36,0.56,0.38
"EMC7",23.5,45.6,30.95,19.82,43.76,35.76,25.15,35.4,32.41,30.98,35.89,43.09,27.62
"PGBD4",0.65,1.87,0.82,0.46,1.65,1.74,1.15,1.68,2.17,1.57,1.11,1.41,2.15
"KATNBL1",14.52,34.93,19.31,16.63,35.53,28.52,20.13,33.14,41.94,28.46,33.83,32.18,18.84
"EMC4",25.45,48.41,35.04,18.68,44.94,38.99,27.65,34.15,31.55,36.4,45.05,41.12,24.27
"SLC12A6",6.28,15.17,6.84,7.97,18.12,16.09,9.57,20.75,32.28,16.52,15.82,15.88,12.33
"NOP10",44.25,68.91,59.75,45.33,71.53,55.55,47.35,54.32,52.67,60.03,71.56,68.52,44.94
"NUTM1",0.01,0.09,0,0,0,0.06,0.05,0.05,0.3,0.09,0.16,0.05,0
"LPCAT4",10.76,15.54,4.09,7.06,15.06,9.49,10.76,6.93,14.38,34.25,39.49,8.76,9.04
"GOLGA8A",5.58,15.73,5.01,6.83,9.65,11.27,7.52,14.83,23.26,14,11.11,11.76,14.48
"GOLGA8B",3.18,9.18,4.9,4.56,3.06,7.55,3.55,5.08,11.94,8.95,9.09,3.33,10.49
"ACTC1",0.04,0.28,0,0,0.24,0.23,0,0.03,0.03,0.03,0.1,0.05,0
"AQR",7.89,22.75,7.35,8.88,22.82,19.73,13.04,26.46,34.47,15.29,15.59,23,15.3
"ZNF770",7.77,18.45,11.03,9.11,20.24,17.27,9.87,21.97,20.93,16.25,14.87,18.5,12.9
