"Cancer","CellMajor","CellMin1","n","pct"
"GC","Myeloid cells","M_C1_IL1B_Mono",410,9.047
"GC","Myeloid cells","M_C2_S100A8_Mono",73,1.611
"GC","Myeloid cells","M_C3_FCGR3A_Mono",92,2.03
"GC","Myeloid cells","M_C4_VCAN_Mono",5,0.11
"GC","Myeloid cells","M_C5_CCL3_C1QA_Macro",1084,23.919
"GC","Myeloid cells","M_C6_SPP1_Macro",1018,22.462
"GC","Myeloid cells","M_C7_TREM2_Macro",230,5.075
"GC","Myeloid cells","M_C8_BMP2K_Macro",3,0.066
"GC","Myeloid cells","M_C9_ISG15_Macro",130,2.868
"GC","Plasma cells","PC_C1_TXNDC5",5621,38.35
"GC","Plasma cells","PC_C2_GMDS",127,0.866
"GC","Plasma cells","PC_C3_IGHGP",1516,10.343
"GC","Plasma cells","PC_C4_CD79A",2395,16.34
"GC","Plasma cells","PC_C5_HSPA1A",1531,10.446
"GC","Plasma cells","PC_C6_SELK",1423,9.709
"GC","Plasma cells","PC_C7_HLA-DRA",1620,11.053
"GC","Plasma cells","PC_C8_IGHG",56,0.382
"GC","Plasma cells","PC_C9_IGHA",368,2.511
"GC","T and NK cells","CD4T_C1_CCR7_Tn",13660,17.601
"GC","T and NK cells","CD4T_C2_FOXP3_Treg",9790,12.614
"GC","T and NK cells","CD4T_C3_BACH2",1441,1.857
"GC","T and NK cells","CD4T_C4_CXCL13",5377,6.928
"GC","T and NK cells","CD4T_C5_TOX",477,0.615
"GC","T and NK cells","CD4T_C6_ISG15",415,0.535
"GC","T and NK cells","CD8T_C1_HSPA1A",7818,10.073
"GC","T and NK cells","CD8T_C2_GZMK",15484,19.951
"GC","T and NK cells","CD8T_C3_PDCD1",4733,6.098
"GC","T and NK cells","CD8T_C4_XCL1",6752,8.7
"GC","T and NK cells","CD8T_C5_ISG15",2463,3.174
"GC","T and NK cells","CD8T_C6_TOX",126,0.162
"GC","T and NK cells","CD8T_C7_MKI67",3256,4.195
"GC","T and NK cells","NK_C1_FCGR3A",1439,1.854
"GC","T and NK cells","NK_C2_XCL1",1428,1.84
"GC","T and NK cells","NK_C3_HSPA1A",1052,1.355
"GC","T and NK cells","NK_C4_CX3CR1",34,0.044
"GC","T and NK cells","NK_C5_KLRC2",37,0.048
"GC","T and NK cells","NK_C6_NFKB1A",677,0.872
"GC","T and NK cells","NK_C7_ISG15",163,0.21
"GC","T and NK cells","NK_C8_CREM",988,1.273
"HCC","B cells","B_C1_CRIP1",176,51.312
"HCC","B cells","B_C2_IGHM_Bn",76,22.157
"HCC","B cells","B_C3_HSPA1A",69,20.117
"HCC","B cells","B_C5_IFIT3",19,5.539
"HCC","B cells","B_C7_MKI67",2,0.583
"HCC","B cells","B_C9_IGLL5",1,0.292
"HCC","Endothelial cells","EC_C10_COL1A2",117,5.556
"HCC","Endothelial cells","EC_C11_RROX1",6,0.285
"HCC","Endothelial cells","EC_C12_FCN3",48,2.279
"HCC","Endothelial cells","EC_C13_MKI67",72,3.419
"HCC","Endothelial cells","EC_C1_IGFBP7",782,37.132
"HCC","Endothelial cells","EC_C2_GJA5",452,21.462
"HCC","Endothelial cells","EC_C3_HSPA1A",128,6.078
"HCC","Endothelial cells","EC_C4_FLT1",42,1.994
"HCC","Endothelial cells","EC_C5_ROBO2",27,1.282
"HCC","Endothelial cells","EC_C6_ACKR1",82,3.894
"HCC","Endothelial cells","EC_C7_IL6",47,2.232
"HCC","Endothelial cells","EC_C8_IL32",125,5.935
"HCC","Endothelial cells","EC_C9_CXCR4",178,8.452
"HCC","Epithelial cells","Epithelial",11866,100
"HCC","Mast cells","Mast",83,100
"HCC","Mesenchymal cells","F_C1_MMP11",695,24.403
"HCC","Mesenchymal cells","F_C2_MIF",1227,43.083
"HCC","Mesenchymal cells","F_C3_CXCL12",1,0.035
"HCC","Mesenchymal cells","F_C4_IGF1",231,8.111
"HCC","Mesenchymal cells","F_C6_COL2A1",14,0.492
"HCC","Mesenchymal cells","F_C7_MKI67",58,2.037
"HCC","Mesenchymal cells","F_C8_PLA2G2A",1,0.035
"HCC","Mesenchymal cells","Per_C1_RGS5",362,12.711
"HCC","Mesenchymal cells","Per_C2_MYH11",259,9.094
"HCC","Myeloid cells","M_C10_MKI67_Macro",270,3.809
"HCC","Myeloid cells","M_C11_MT1G_Macro",88,1.241
"HCC","Myeloid cells","M_C12_HSPA1A_Macro",116,1.636
"HCC","Myeloid cells","M_C13_MMP9_Macro",58,0.818
"HCC","Myeloid cells","M_C14_CD1C_cDC",343,4.838
"HCC","Myeloid cells","M_C15_LAMP3_cDC",138,1.947
"HCC","Myeloid cells","M_C16_LILRA4_pDC",40,0.564
"HCC","Myeloid cells","M_C17_S100A8_Neutro",1079,15.221
"HCC","Myeloid cells","M_C18_ISG15_Neutro",61,0.86
"HCC","Myeloid cells","M_C19_AZU1_Neutro",4,0.056
"HCC","Myeloid cells","M_C1_IL1B_Mono",456,6.433
"HCC","Myeloid cells","M_C2_S100A8_Mono",9,0.127
"HCC","Myeloid cells","M_C3_FCGR3A_Mono",47,0.663
"HCC","Myeloid cells","M_C4_VCAN_Mono",2,0.028
"HCC","Myeloid cells","M_C5_CCL3_C1QA_Macro",2118,29.877
"HCC","Myeloid cells","M_C6_SPP1_Macro",1573,22.189
"HCC","Myeloid cells","M_C7_TREM2_Macro",435,6.136
"HCC","Myeloid cells","M_C9_ISG15_Macro",252,3.555
"HCC","Plasma cells","PC_C1_TXNDC5",253,22.019
"HCC","Plasma cells","PC_C3_IGHGP",3,0.261
"HCC","Plasma cells","PC_C4_CD79A",4,0.348
"HCC","Plasma cells","PC_C5_HSPA1A",77,6.701
"HCC","Plasma cells","PC_C8_IGHG",811,70.583
"HCC","Plasma cells","PC_C9_IGHA",1,0.087
"HCC","T and NK cells","CD4T_C1_CCR7_Tn",1874,16.152
"HCC","T and NK cells","CD4T_C2_FOXP3_Treg",1573,13.558
"HCC","T and NK cells","CD4T_C3_BACH2",46,0.396
"HCC","T and NK cells","CD4T_C4_CXCL13",381,3.284
"HCC","T and NK cells","CD4T_C5_TOX",16,0.138
"HCC","T and NK cells","CD4T_C6_ISG15",53,0.457
"HCC","T and NK cells","CD8T_C1_HSPA1A",1424,12.274
"HCC","T and NK cells","CD8T_C2_GZMK",1430,12.325
"HCC","T and NK cells","CD8T_C3_PDCD1",994,8.567
"HCC","T and NK cells","CD8T_C4_XCL1",624,5.378
"HCC","T and NK cells","CD8T_C5_ISG15",355,3.06
"HCC","T and NK cells","CD8T_C6_TOX",13,0.112
"HCC","T and NK cells","CD8T_C7_MKI67",1343,11.576
"HCC","T and NK cells","NK_C1_FCGR3A",714,6.154
"HCC","T and NK cells","NK_C2_XCL1",272,2.344
"HCC","T and NK cells","NK_C3_HSPA1A",412,3.551
"HCC","T and NK cells","NK_C4_CX3CR1",4,0.034
"HCC","T and NK cells","NK_C6_NFKB1A",44,0.379
"HCC","T and NK cells","NK_C7_ISG15",30,0.259
"KC","B cells","B_C10_LOMO2",26,0.372
"KC","B cells","B_C11_MZB1_PC",127,1.819
"KC","B cells","B_C1_CRIP1",1237,17.72
"KC","B cells","B_C2_IGHM_Bn",1136,16.273
"KC","B cells","B_C3_HSPA1A",407,5.83
"KC","B cells","B_C4_FCRL1",3247,46.512
"KC","B cells","B_C5_IFIT3",72,1.031
